ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
oit6,1,5.160779705048022E-8,0.034482758620689655,2.2993791676247413E-6,19.349854715449325,13.87234318811122
onderbe.wustc,1,5.160779705048022E-8,0.034482758620689655,2.2993791676247413E-6,19.349854715449325,13.87234318811122
ttmnj,1,5.160779705048022E-8,0.034482758620689655,2.2993791676247413E-6,19.349854715449325,13.87234318811122
vmianocns,1,5.160779705048022E-8,0.034482758620689655,2.2993791676247413E-6,19.349854715449325,13.87234318811122
contributiebetaler,1,5.160779705048022E-8,0.034482758620689655,2.2993791676247413E-6,19.349854715449325,13.87234318811122
persoonsverwarring,1,5.160779705048022E-8,0.034482758620689655,2.2993791676247413E-6,19.349854715449325,13.87234318811122
gnuift,1,7.741169557572033E-7,0.034482758620689655,2.2993791676247413E-6,15.44296411984081,13.87234318811122
aanvraagformulier,1,7.741169557572033E-7,0.034482758620689655,2.2993791676247413E-6,15.44296411984081,13.87234318811122
lotenverkoper,1,8.773325498581637E-7,0.034482758620689655,4.598758335249483E-6,15.26239187419899,12.87234318811122
cda’er,1,9.289403469086439E-7,0.034482758620689655,2.2993791676247413E-6,15.179929714007013,13.87234318811122
nsb,29,3.127432501259101E-5,1.0,6.66819958611175E-5,14.964661727103948,13.872343188111222
erb,1,1.8062728967668076E-6,0.034482758620689655,2.2993791676247413E-6,14.220571698504362,13.87234318811122
winterhulp,1,2.0127040849687285E-6,0.034482758620689655,4.598758335249483E-6,14.064452496587077,12.87234318811122
ledenlijst,1,2.2707430702211297E-6,0.034482758620689655,6.898137502874224E-6,13.890423096812029,12.287380687390066
lidmaat,1,2.838428837776412E-6,0.034482758620689655,2.2993791676247413E-6,13.568495001924667,13.87234318811122
chap,1,3.6125457935336152E-6,0.034482758620689655,2.2993791676247413E-6,13.220571698504362,13.87234318811122
izvestia,2,8.876541092682597E-6,0.06896551724137931,4.598758335249483E-6,12.923589960747229,13.87234318811122
proppen,1,5.057564110947062E-6,0.034482758620689655,6.898137502874224E-6,12.735144871334118,12.287380687390066
riod,1,5.418818690300423E-6,0.034482758620689655,7.81788916992412E-5,12.635609197783204,8.78488034686088
ontaardde,1,5.676857675552824E-6,0.034482758620689655,9.197516670498965E-6,12.568495001924667,11.87234318811122
oorlogsdocumentatie,1,7.328307181168191E-6,0.034482758620689655,2.069441250862267E-5,12.200107595944647,10.70241818666891
beroept,1,1.0527990598297964E-5,0.034482758620689655,6.898137502874224E-6,11.677429373477832,12.287380687390066
authentieke,1,1.1405323148156129E-5,0.034482758620689655,1.3796275005748449E-5,11.561952156057895,11.287380687390066
familielid,2,2.368797884617042E-5,0.06896551724137931,3.679006668199586E-5,11.50750437203552,10.872343188111222
uns,1,1.4295359782983021E-5,0.034482758620689655,3.679006668199586E-5,11.236112549400136,9.872343188111222
lidmaatschap,7,1.0429935783902053E-4,0.2413793103448276,1.1956771671648655E-4,11.176356031127195,10.979258392027731
reglementen,1,1.6927357432557513E-5,0.034482758620689655,2.5293170843872154E-5,10.992302710831245,10.412911569473922
rancune,1,1.7753082185365194E-5,0.034482758620689655,2.7592550011496897E-5,10.923589960747229,10.287380687390064
onaantastbaar,1,1.888845372047576E-5,0.034482758620689655,2.5293170843872154E-5,10.834154877165284,10.412911569473922
formulier,1,2.2449391716958896E-5,0.034482758620689655,4.368820418487009E-5,10.584983124713238,9.624415674667635
verbindt,1,2.3378332063867538E-5,0.034482758620689655,3.449068751437112E-5,10.526487475403092,9.965452592502704
consequenties,3,7.483130572319631E-5,0.10344827586206896,8.047827086686595E-5,10.43298003126819,10.32802267188741
luns,21,5.348116008341265E-4,0.7241379310344828,3.7709818349045756E-4,10.40301804729603,10.907108606271898
geconfronteerd,1,2.590711411934107E-5,0.034482758620689655,3.679006668199586E-5,10.378311161498555,9.872343188111222
vermoedt,1,2.647479988689635E-5,0.034482758620689655,2.2993791676247414E-5,10.347039699842274,10.550415093223858
wrok,1,2.9674483304026124E-5,0.034482758620689655,9.197516670498965E-6,10.18243656961759,11.87234318811122
actualiteit,1,3.050020805683381E-5,0.034482758620689655,1.8165095424235456E-4,10.142840395271795,7.568562439934118
stuurde,1,4.691148751888652E-5,0.034482758620689655,3.219130834674638E-5,9.521718231255221,10.064988266053616
schokt,1,5.6149283190922475E-5,0.034482758620689655,4.368820418487009E-5,9.262391874198988,9.624415674667635
eerherstel,1,6.610958802166516E-5,0.034482758620689655,6.208323752586801E-5,9.02679995510768,9.117455685947752
voorbarig,1,6.796746871548245E-5,0.034482758620689655,6.438261669349276E-5,8.986815085192813,9.064988266053614
kamerdebat,1,7.008338839455214E-5,0.034482758620689655,1.6325592090135664E-4,8.942586951204595,7.7225960686065385
kooiman,1,7.276699384117711E-5,0.034482758620689655,1.0807082087836284E-4,8.888375268163172,8.317754336433584
stempel,1,8.246925968666739E-5,0.034482758620689655,9.427454587261439E-5,8.70780302252135,8.514791183493138
herzien,1,9.717748184605425E-5,0.034482758620689655,1.3106461255461024E-4,8.4710374308351,8.039453173946479
inde,1,9.908697033692203E-5,0.034482758620689655,1.2646585421936078E-4,8.44296411984081,8.090983474586562
onschuldig,1,1.0244147714520323E-4,0.034482758620689655,1.0807082087836284E-4,8.394931423419008,8.317754336433584
kringen,1,1.061572385328378E-4,0.034482758620689655,1.9084847091285352E-4,8.343528636924395,7.497303756764296
tracht,1,1.0760225685025125E-4,0.034482758620689655,5.9783858358243275E-5,8.3240230471173,9.171903469970129
documenten,1,1.0837637380600845E-4,0.034482758620689655,6.208323752586801E-5,8.313681102895842,9.117455685947752
