ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
witte,1,31407,5505709,title,1.5387920901838926E-4,8.703220191470844E-4,1.1639085618580601E-4,2.4997509779878584,2.902571574168812,0.0,0.0,2.625,3.3065319061279297
hwa't,1,363,12611,title,3.5246517840498054E-7,8.703220191470844E-4,1.3452377111932876E-6,11.269852847242456,9.337544358908962,0.0,0.0,19.65625,15.791452407836914
mear,1,3813,232265,title,6.491580736042567E-6,8.703220191470844E-4,1.4130554801046847E-5,7.066835661401663,5.9446592811785965,0.0,0.0,11.2705078125,9.051626205444336
ien,1,4863,1155979,title,3.230848818233376E-5,8.703220191470844E-4,1.802173826317619E-5,4.75156414793082,5.593739220666013,0.0,0.0,6.72509765625,8.362756729125977
kear,1,1075,66841,title,1.8681409079190632E-6,8.703220191470844E-4,3.983830687418138E-6,8.863802209634121,7.77124915242789,0.0,0.0,14.84912109375,12.670230865478516
omdien,1,1,95,title,2.6551575567737016E-9,8.703220191470844E-4,3.7058890115517563E-9,18.32239229839668,17.84137009690471,0.0,0.0,33.7451171875,31.684022903442383
hat,1,8043,1210663,title,3.383685277006653E-5,8.703220191470844E-4,2.9806465319910776E-5,4.6848820048981725,4.8678520922009945,0.0,0.0,6.59765625,6.950136184692383
jirnsum,1,117,10731,title,2.9992100780777467E-7,8.703220191470844E-4,4.335890143515555E-7,11.502751003011246,10.971005377321307,0.0,0.0,20.1220703125,19.047027587890625
lears,1,7,1312,title,3.666912331039049E-8,8.703220191470844E-4,2.5941223080862294E-8,14.534695902109542,15.034015174847108,0.0,0.0,26.1845703125,26.987060546875
hagen,1,2523,295471,title,8.258126931131394E-6,8.703220191470844E-4,9.349957976145081E-6,6.719590893120808,6.54044560592841,0.0,0.0,10.58203125,10.227167129516602
begonnen,1,24227,3120285,title,8.720892944250137E-5,8.703220191470844E-4,8.97825730828644E-5,3.3190015296914144,3.2770419486816618,0.0,0.0,4.04296875,3.967313766479492
verdachten,1,3131,418719,title,1.1702788600155028E-5,8.703220191470844E-4,1.1603138495168549E-5,6.216625048285076,6.228962303766041,0.0,0.0,9.587890625,9.611778259277344
neuhauser,1,629,1546,title,4.320919560812782E-8,8.703220191470844E-4,2.331004188266055E-6,14.297923302802781,8.544453890025421,0.0,0.0,25.7109375,14.210214614868164
zwijgen,1,2653,517267,title,1.4457109304417499E-5,8.703220191470844E-4,9.83172354764681E-6,5.911698277197951,6.467961136676015,0.0,0.0,8.986328125,10.083822250366211
duitsers,1,6191,543140,title,1.5180234477748089E-5,8.703220191470844E-4,2.2943158870516925E-5,5.8412833166320635,5.245413352961549,0.0,0.0,8.849609375,7.682472229003906
tonen,1,8759,572771,title,1.600839209421926E-5,8.703220191470844E-4,3.2459881852181836E-5,5.764648983011487,4.7448196430317875,0.0,0.0,8.69873046875,6.71287727355957
vrijuit,1,789,44339,title,1.2392319043135702E-6,8.703220191470844E-4,2.9239464301143356E-6,9.455959294440474,8.217488606891253,0.0,0.0,16.03125,13.5587158203125
maatschappijleer,1,459,18265,title,5.104889765733859E-7,8.703220191470844E-4,1.7010030563022563E-6,10.735453773478246,8.999019753490904,0.0,0.0,18.587890625,15.116413116455078
volwassen,1,2925,288513,title,8.063657601867905E-6,8.703220191470844E-4,1.0839725358788888E-5,6.753971106096012,6.327149187546583,0.0,0.0,10.64990234375,9.805587768554688
discriminatie,1,2889,95497,title,2.669048223149665E-6,8.703220191470844E-4,1.0706313354373023E-5,8.349080115004709,6.345015608340097,0.0,0.0,13.82275390625,9.840873718261719
jongeren,1,17627,1009045,title,2.8201825861839158E-5,8.703220191470844E-4,6.532370560662281E-5,4.947688822196859,3.7358707590560822,0.0,0.0,7.10400390625,4.803926467895508
jeugd,1,19209,2610487,title,7.296057142010011E-5,8.703220191470844E-4,7.118642202289769E-5,3.576360363196537,3.611875301558113,0.0,0.0,4.509765625,4.5753631591796875
joods,1,2375,117675,title,3.2889017420352143E-6,8.703220191470844E-4,8.801486402435421E-6,8.047799579263648,6.627658298799039,0.0,0.0,13.2216796875,10.399742126464844
michielsgestel,1,519,26721,title,7.468259481531588E-7,8.703220191470844E-4,1.9233563969953614E-6,10.18656152729866,8.821779368546833,0.0,0.0,17.4912109375,14.763031005859375
uitgebroed,1,121,18880,title,5.276776281251314E-7,8.703220191470844E-4,4.484125703977625E-7,10.687676762478427,10.922506859630117,0.0,0.0,18.4931640625,18.950485229492188
klinkenbergs,1,5,94,title,2.6272085298602945E-9,8.703220191470844E-4,1.8529445057758783E-8,18.33765905504999,15.519442002017348,0.0,0.0,33.77587890625,27.88380241394043
biografie,1,709,48825,title,1.3646112390471156E-6,8.703220191470844E-4,2.6274753091901953E-6,9.31691548306611,8.371728279665197,0.0,0.0,15.75439453125,13.866003036499023
vlaams,1,509,81737,title,2.2844696128211796E-6,8.703220191470844E-4,1.886297506879844E-6,8.57354623420557,8.849848250829018,0.0,0.0,14.27001953125,14.818990707397461
iedereen,1,32861,2069827,title,5.784965052909727E-5,8.703220191470844E-4,1.2177921880860226E-4,3.9111691477813775,2.837281333443137,0.0,0.0,5.12939453125,3.193807601928711
z'n,1,10411,530655,title,1.4831290876734197E-5,8.703220191470844E-4,3.8582010499265334E-5,5.874833220133434,4.495549067954089,0.0,0.0,8.9140625,6.234640121459961
slaan,1,9353,1685780,title,4.7115910590083905E-5,8.703220191470844E-4,3.466117992504358E-5,4.207263065428629,4.650156624683424,0.0,0.0,5.68603515625,6.530851364135742
cees,1,5673,233531,title,6.52696420411494E-6,8.703220191470844E-4,2.1023508362533115E-5,7.05899335953905,5.371473948233795,0.0,0.0,11.255859375,7.928215026855469
zweeden,1,47,39335,title,1.0993749736388796E-6,8.703220191470844E-4,1.7417678354293255E-7,9.628721943574169,12.286781245227077,0.0,0.0,16.37646484375,21.659536361694336
overzichtelijk,1,1225,61626,title,1.7223867325656437E-6,8.703220191470844E-4,4.539714039150901E-6,8.980996375004699,7.582804063014779,0.0,0.0,15.0830078125,12.29534912109375
geheel,1,118137,18672053,title,5.218657118255691E-4,8.703220191470844E-4,4.3780261015768983E-4,0.7378706813106,0.9912687410817593,0.0,0.0,0.3203125,0.5489063262939453
mantel,1,1773,478757,title,1.338079227798218E-5,8.703220191470844E-4,6.570541217481264E-6,6.023313851171848,7.049393276006024,0.0,0.0,9.20703125,11.235616683959961
liefde,1,12893,2570477,title,7.184233085329468E-5,8.703220191470844E-4,4.778002702593679E-5,3.5986432341401073,4.1870697219610005,0.0,0.0,4.55126953125,5.64818000793457
ruim,1,76309,8355137,title,2.3351794887820586E-4,8.703220191470844E-4,2.8279268458250296E-4,1.8980158529111062,1.6218044966041543,0.0,0.0,1.685546875,1.2963294982910156
dagen,1,104215,19101635,title,5.338721107050845E-4,8.703220191470844E-4,3.8620922333886627E-4,0.7050551118237447,1.172166678170571,0.0,0.0,0.29443359375,0.7397289276123047
chaos,1,2717,239026,title,6.680544107004114E-6,8.703220191470844E-4,1.0068900444386121E-5,7.02543987671695,6.433571246682737,0.0,0.0,11.1884765625,10.015840530395508
proza,1,799,133198,title,3.7227544868120374E-6,8.703220191470844E-4,2.9610053202298533E-6,7.869035012131972,8.199318403976735,0.0,0.0,12.8662109375,13.522520065307617
noordhoek,1,353,51794,title,1.4475918999530222E-6,8.703220191470844E-4,1.30817882107777E-6,9.231750546478834,9.377845723633532,0.0,0.0,15.583984375,15.871824264526367
marcel,1,4127,280231,title,7.832183760971065E-6,8.703220191470844E-4,1.5294203950674098E-5,6.795990872409133,5.830492373897677,0.0,0.0,10.73388671875,8.82717514038086
matthijs,1,663,45619,title,1.2750066587627317E-6,8.703220191470844E-4,2.4570044146588142E-6,9.414900705053624,8.468505036792125,0.0,0.0,15.94921875,14.058856964111328
mol,1,1977,598235,title,1.6720086115542268E-5,8.703220191470844E-4,7.326542575837822E-6,5.701895113860788,6.892272941175504,0.0,0.0,8.57421875,10.923965454101562
oude,1,88355,12230267,title,3.4182406154115825E-4,8.703220191470844E-4,3.274338236156554E-4,1.3482953427087452,1.4103459383101686,0.0,0.0,0.9443359375,1.0213298797607422
verhalen,1,9137,847829,title,2.3695995538967272E-5,8.703220191470844E-4,3.38607078985484E-5,5.198834117654544,4.6838652569785975,0.0,0.0,7.59228515625,6.595617294311523
vorm,1,29845,3430469,title,9.587827040660972E-5,8.703220191470844E-4,1.1060225754976217E-4,3.182273508025947,2.9761684635675465,0.0,0.0,3.7978515625,3.434549331665039
arbeiders,1,8833,4056315,title,1.1337005710425808E-4,8.703220191470844E-4,3.2734117639036664E-5,2.940509645789044,4.732682300750099,0.0,0.0,3.3720703125,6.689512252807617
laten,1,108131,13014307,title,3.6373721660234613E-4,8.703220191470844E-4,4.0072148470810296E-4,1.2586527509263323,1.118949434873839,0.0,0.0,0.83837890625,0.6813888549804688
opzwepen,1,39,2098,title,5.86370584643287E-8,8.703220191470844E-4,1.445296714505185E-7,13.857448944150358,12.555967878042464,0.0,0.0,24.82958984375,22.191614151000977
raddraaiers,1,107,20544,title,5.741848089090414E-7,8.703220191470844E-4,3.9653012423603795E-7,10.565818419605323,11.099903110503563,0.0,0.0,18.2490234375,19.303558349609375
vietnam,1,12047,275545,title,7.701214620854839E-6,8.703220191470844E-4,4.464484492216401E-5,6.8203194838199135,4.284983792806905,0.0,0.0,10.78076171875,5.833612442016602
conservatisme,1,219,40953,title,1.1445964991847727E-6,8.703220191470844E-4,8.115896935298346E-7,9.570566387238818,10.06658303730354,0.0,0.0,16.26025390625,17.245159149169922
gevaar,1,15985,3511259,title,9.813627229094391E-5,8.703220191470844E-4,5.923863584965483E-5,3.148690920155383,3.876938973236827,0.0,0.0,3.73828125,5.065896987915039
sociaal,1,9515,624540,title,1.745528526849945E-5,8.703220191470844E-4,3.526153394491496E-5,5.639813457009085,4.625382155743326,0.0,0.0,8.453125,6.483295440673828
democraten,1,1143,257648,title,7.201010886185587E-6,8.703220191470844E-4,4.235831140203657E-6,6.917206038718101,7.682760408690234,0.0,0.0,10.9736328125,12.494169235229492
liberalen,1,2707,750101,title,2.0964593036773793E-5,8.703220191470844E-4,1.0031841554270605E-5,5.375522566830668,6.438890924689749,0.0,0.0,7.93603515625,10.026355743408203
samen,1,54017,4007979,title,1.1201911293937163E-4,8.703220191470844E-4,2.0018100673699121E-4,2.957804387921037,2.120244199783599,0.0,0.0,3.40283203125,2.0194931030273438
gast,1,6045,650563,title,1.818260279586705E-5,8.703220191470844E-4,2.2402099074830368E-5,5.58091865915007,5.279843472768228,0.0,0.0,8.33837890625,7.749530792236328
j.h,1,2557,145133,title,4.056326123023555E-6,8.703220191470844E-4,9.475958202537842E-6,7.74523183898309,6.521133651663062,0.0,0.0,12.6201171875,10.188970565795898
scheps,1,79,15792,title,4.4137103301652945E-7,8.703220191470844E-4,2.9276523191258875E-7,10.945341632271228,11.537589348727609,0.0,0.0,19.0078125,20.17384147644043
pvda,1,25315,884772,title,2.472851644022928E-5,8.703220191470844E-4,9.381458032743271E-5,5.1373017023469565,3.2136652331075375,0.0,0.0,7.47265625,3.8539199829101562
dolder,1,497,59369,title,1.659305778822083E-6,8.703220191470844E-4,1.841826838741223E-6,9.034825714344313,8.884268055342426,0.0,0.0,15.1904296875,14.887615203857422
dagweek,1,11,1634,title,4.566870997650767E-8,8.703220191470844E-4,4.076477912706932E-8,14.218055638581943,14.381938478267413,0.0,0.0,25.55126953125,25.752540588378906
halve,1,25497,2960281,title,8.273697334024853E-5,8.703220191470844E-4,9.448905212753513E-5,3.3949452095002304,3.203330209084301,0.0,0.0,4.18017578125,3.835489273071289
eeuw,1,16329,2205003,title,6.162768819114403E-5,8.703220191470844E-4,6.051346166962863E-5,3.819898718771597,3.8462212754584613,0.0,0.0,4.95947265625,5.0086822509765625
geleden,1,63413,7629793,title,2.132452899007273E-4,8.703220191470844E-4,2.3500153988953153E-4,2.029035420831791,1.8888790865653498,0.0,0.0,1.8798828125,1.6721305847167969
bloeide,1,163,34892,title,9.751974470626105E-7,8.703220191470844E-4,6.040599088829362E-7,9.801639232386352,10.492641942673634,0.0,0.0,16.7216796875,18.094329833984375
economie,1,11035,658935,title,1.8416592049186096E-5,8.703220191470844E-4,4.089448524247363E-5,5.562471273283112,4.411571087737736,0.0,0.0,8.3017578125,6.0743560791015625
zichzelf,1,21267,2035622,title,5.689365406352417E-5,8.703220191470844E-4,7.88131416086712E-5,3.935209648953995,3.4650411814885533,0.0,0.0,5.1748046875,4.306968688964844
dood,1,25111,4686129,title,1.3097274554069884E-4,8.703220191470844E-4,9.305857896907615E-5,2.7322826680725143,3.2253382348902484,0.0,0.0,3.0146484375,3.8747615814208984
viel,1,18003,3292287,title,9.201621796966126E-5,8.703220191470844E-4,6.671711987496627E-5,3.241589231465003,3.7054203816620355,0.0,0.0,3.9033203125,4.747644424438477
dag,1,162191,20747041,title,5.798596072825665E-4,8.703220191470844E-4,6.010618446725909E-4,0.5858456525160527,0.5340358560299165,0.0,0.0,0.2080078125,0.1755084991455078
stortte,1,1179,254770,title,7.1205735867288004E-6,8.703220191470844E-4,4.369243144619521E-6,6.933412026750593,7.638022093924947,0.0,0.0,11.005859375,12.405170440673828
newyorkse,1,745,27115,title,7.578378647570413E-7,8.703220191470844E-4,2.7608873136060586E-6,10.165444356825057,8.30027348155519,0.0,0.0,17.4482421875,13.7236328125
beurs,1,13685,2386711,title,6.670624997352546E-5,8.703220191470844E-4,5.071509112308579E-5,3.7056554522191067,4.101062282652393,0.0,0.0,4.74755859375,5.485893249511719
krach,1,207,111881,title,3.126965080098932E-6,8.703220191470844E-4,7.671190253912136E-7,8.120642378399884,10.147883139405385,0.0,0.0,13.3671875,17.407228469848633
bleef,1,28135,4723303,title,1.3201172266717786E-4,8.703220191470844E-4,1.0426518734000866E-4,2.7208832500250892,3.0612917539597913,0.0,0.0,2.99462890625,3.583799362182617
zwarte,1,23323,3271611,title,9.143834388919966E-5,8.703220191470844E-4,8.643244941642161E-5,3.250678117771068,3.331904345336861,0.0,0.0,3.92041015625,4.065935134887695
hulzen,1,397,182672,title,5.105504644325954E-6,8.703220191470844E-4,1.4712379375860473E-6,7.41335191795814,9.208374899761752,0.0,0.0,11.958984375,15.533872604370117
wilhelmina,1,4977,1068160,title,2.9854032587825236E-5,8.703220191470844E-4,1.844420961049309E-5,4.865551572477667,5.560309425227693,0.0,0.0,6.94580078125,8.29730224609375
wilde,1,44505,6609489,title,1.8472878594487008E-4,8.703220191470844E-4,1.6493059045911092E-4,2.2361406005666176,2.3996902898159274,0.0,0.0,2.20068359375,2.461589813232422
hendrik,1,10967,2311301,title,6.45986138539854E-5,8.703220191470844E-4,4.064248478968811E-5,3.7519741836429645,4.420488783869219,0.0,0.0,4.83349609375,6.0913543701171875
scheiden,1,2189,360672,title,1.008043143491247E-5,8.703220191470844E-4,8.112191046286795E-6,6.4319200053647005,6.745313857723767,0.0,0.0,10.01318359375,10.63271713256836
juliana,1,6661,760596,title,2.1257918074230005E-5,8.703220191470844E-4,2.468492670594625E-5,5.3554770804842065,5.139847030330278,0.0,0.0,7.89697265625,7.47712516784668
halfbroer,1,171,7588,title,2.1207721621893524E-7,8.703220191470844E-4,6.337070209753503E-7,12.00274394331615,10.423517582018812,0.0,0.0,21.12158203125,17.956592559814453
zondag,1,71785,9662721,title,2.7006364928574677E-4,8.703220191470844E-4,2.6602724269424286E-4,1.688249831526857,1.709975303479892,0.0,0.0,1.38671875,1.4171199798583984
september,1,62913,9092003,title,2.541126365437807E-4,8.703220191470844E-4,2.3314859538375564E-4,1.7760811772155307,1.9002995587931633,0.0,0.0,1.509765625,1.6888313293457031
