ngram ,total_tf_query,P_w,P_w_Given_query_time,P_w_Given_time,PMI_classic,PMI_time
schrijversportretten,2,4.6447017345432197E-7,0.004761904761904762,4.6646142364026496E-6,13.323665191468464,9.995565276527667
weekbladpers,4,2.0127040849687285E-6,0.009523809523809525,9.329228472805299E-6,12.208187974048528,9.995565276527667
knalbaan,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
gezwibberzwabber,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
propagandatoeter,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
afraadt,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
agnelll,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
autorltelten,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
baltra,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
hoogtprljs,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
mlreya,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
schetst.de,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
schljft,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
elëexher,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
gezondheidszorgnota,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
danttig,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
querul,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
bhl.p,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
heetwaterbn,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
joodss,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
sifmwe,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
weekblacifn,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
bevrqdingsbeweglng,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
eueviers,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
frellmo,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
mediabond,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
eboorte'nnd,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
jazzkoningin,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
mayatlnc,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
mlrkerytheater,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
tkach,1,5.160779705048022E-8,0.002380952380952381,2.3323071182013248E-6,15.493590192910775,9.995565276527666
